city;cityEconomy;home;homeUtility
Duxiwa;Minning;Meyigi;Medium house
Duxiwa;Minning;Vino;Big house
Duxiwa;Minning;Qeveri;Small house
Duxiwa;Minning;Heyob;Small house
Duxiwa;Minning;Mewidixoh;Small house
Duxiwa;Minning;Venu;Inn
Duxiwa;Minning;Wohajez;Big house
Duxiwa;Minning;Wibo;Medium house
Duxiwa;Minning;Jilosociw;Medium house
Duxiwa;Minning;Sedoj;Pub
Duxiwa;Minning;Vugowug;Medium house
Duxiwa;Minning;Mepedoq;Abandoned
Duxiwa;Minning;Pahewetij;Abandoned
Duxiwa;Minning;Jiku;Medium house
Duxiwa;Minning;Tuqexug;Small house
Duxiwa;Minning;Vavuzet;Small house
Duxiwa;Minning;Wavude;Small house
Duxiwa;Minning;Denawov;Abandoned
Duxiwa;Minning;Heqagu;Medium house
Duxiwa;Minning;Tanogaha;Small house
Duxiwa;Minning;Kamil;Shop
Duxiwa;Minning;Siviloj;Pub
Duxiwa;Minning;Sota;Small house
Duxiwa;Minning;Ciwujep;Small house
Duxiwa;Minning;Caku;Shop
Duxiwa;Minning;Mosunuqu;Big house
Duxiwa;Minning;Kumad;Shop
Duxiwa;Minning;Wayufom;Small house
Duxiwa;Minning;Xecurabup;Shop
Duxiwa;Minning;Zero;Small house
Duxiwa;Minning;Lonuqinu;Abandoned
Duxiwa;Minning;Tavehic;Pub
Duxiwa;Minning;Yuke;Medium house
Duxiwa;Minning;Gocawos;Small house
Duxiwa;Minning;Zoyat;Big house
Duxiwa;Minning;Gizere;Inn
Duxiwa;Minning;Feye;Big house
Duxiwa;Minning;Ceji;Medium house
Duxiwa;Minning;Niqab;Pub
Duxiwa;Minning;Givijo;Abandoned
Duxiwa;Minning;Hovef;Medium house
Duxiwa;Minning;Raxod;Small house
Duxiwa;Minning;Botewaxin;Medium house
Duxiwa;Minning;Vanayumi;Small house
Duxiwa;Minning;Fevize;Big house
Duxiwa;Minning;Zilolayat;Pub
Duxiwa;Minning;Muvezu;Small house
Duxiwa;Minning;Wezu;Medium house
Duxiwa;Minning;Bawoxehi;Small house
Duxiwa;Minning;Dokaterid;Medium house
Duxiwa;Minning;Dijogupe;Small house
Duxiwa;Minning;Vize;Inn

