city;cityEconomy;home;homeUtility
Hilakugeno;Tourism;Filemadevo;Medium house
Hilakugeno;Tourism;Xayejij;Medium house
Hilakugeno;Tourism;Depa;Medium house
Hilakugeno;Tourism;Gebidi;Abandoned
Hilakugeno;Tourism;Duvahajoru;Small house
Hilakugeno;Tourism;Qajo;Small house
Hilakugeno;Tourism;Fagokok;Small house
Hilakugeno;Tourism;Qunetola;Small house
Hilakugeno;Tourism;Jifafu;Abandoned
Hilakugeno;Tourism;Jiqize;Medium house
Hilakugeno;Tourism;Ziy;Medium house
Hilakugeno;Tourism;Paginur;Medium house
Hilakugeno;Tourism;Luboroyuvo;Big house
Hilakugeno;Tourism;Huheluzat;Medium house
Hilakugeno;Tourism;Davidaji;Abandoned
Hilakugeno;Tourism;Rilat;Big house
Hilakugeno;Tourism;Lazuze;Inn
Hilakugeno;Tourism;Cav;Big house
Hilakugeno;Tourism;Molaboruz;Small house
Hilakugeno;Tourism;Rujipegor;Big house
Hilakugeno;Tourism;Jiwudug;Big house
Hilakugeno;Tourism;Peyayo;Medium house
Hilakugeno;Tourism;Webihiz;Big house
Hilakugeno;Tourism;Gawid;Big house
Hilakugeno;Tourism;Rosac;Big house
Hilakugeno;Tourism;Cezequnag;Small house
Hilakugeno;Tourism;Bofena;Small house
Hilakugeno;Tourism;Viqereco;Abandoned
Hilakugeno;Tourism;Vejovupuye;Small house
Hilakugeno;Tourism;Lojotuy;Small house
Hilakugeno;Tourism;Fuxuyi;Inn
Hilakugeno;Tourism;Qigiw;Big house
Hilakugeno;Tourism;Yezub;Small house
Hilakugeno;Tourism;Zof;Pub
Hilakugeno;Tourism;Kokolagofe;Small house
Hilakugeno;Tourism;Fuxikafe;Big house

